empresa,faturamento_empresa_brl,produto,tipo_cliente,mercado_principal,indice_concorrencia_1a5,indice_valor_agregado_1a5,margem_media_percentual,indice_complexidade_produtiva_1a5,indice_capex_1a5,indice_escalabilidade_1a5,indice_exigencia_regulatoria_1a5,certificacoes_principais,indice_compatibilidade_refugo_1a5,indice_compatibilidade_operacao_fazenda_1a5
BRF Ingredients,53000000000.0,Sorbet / picolé,B2B,Interno,2.0,3.5,45.66,4.0,1.0,1.0,3.0,ANVISA,2.0,1.0
Ambev (bebidas),72000000000.0,Purê de manga asséptico,B2C,nao informado,2.0,3.0,12.79,3.0,1.0,3.0,3.0,ANVISA,1.0,2.0
Bunge Brasil,95000000000.0,Biocomposto / fertilizante orgânico,B2B,Externo,4.0,2.0,12.31,2.0,3.0,3.0,2.0,ANVISA,3.0,2.0
MangaVale Alimentos,480000000.0,Sabonete / hidratante com manga,B2B,Ambos,1.0,2.5,37.29,3.0,2.0,3.0,2.0,MAPA,2.0,2.0
Cutrale,30000000000.0,Corante natural,B2B,Interno,3.0,3.5,13.45,4.0,2.0,4.0,3.0,MAPA,2.0,4.0
AgroDoce Nordeste,220000000.0,Óleo / manteiga de semente de manga,B2B,Externo,3.0,4.0,31.02,3.0,4.0,1.0,5.0,Internacional,3.0,3.0
VerdePulp Brasil,310000000.0,nao informado,B2B,Interno,2.0,3.5,18.22,4.0,1.0,1.0,3.0,Nenhuma,3.0,1.0
NordFruit Export,540000000.0,Ração / ingrediente para ração animal,nao informado,Interno,2.0,3.5,43.97,3.0,4.0,3.0,4.0,Internacional,2.0,4.0
Cutrale,30000000000.0,Base para néctar,B2B,Interno,3.0,2.5,19.2,2.0,3.0,3.0,3.0,Internacional,2.0,3.0
Fazenda Sol do Vale,180000000.0,Óleo / manteiga de semente de manga,B2C,Externo,3.0,4.0,27.93,4.0,3.0,3.0,3.0,MAPA,2.0,2.0
nao informado,18000000000.0,Ração / ingrediente para ração animal,B2B,Ambos,3.0,3.0,14.69,3.0,1.0,3.0,3.0,Nenhuma,4.0,3.0
TropFruit Ingredients,650000000.0,Manga desidratada em pedaços,nao informado,Interno,5.0,2.0,37.86,3.0,2.0,3.0,1.0,Nenhuma,2.0,1.0
Duas Rodas,4200000000.0,Sorbet / picolé,B2B,Externo,3.0,4.0,26.75,3.0,2.0,5.0,5.0,ANVISA,3.0,2.0
Duas Rodas,4200000000.0,Concentrado de manga,B2B,Ambos,3.0,3.0,29.1,3.0,2.0,3.0,3.0,Nenhuma,3.0,4.0
TropFruit Ingredients,650000000.0,Snack de manga desidratada,B2B,nao informado,2.0,2.0,9.95,3.0,2.0,2.0,1.0,MAPA,3.0,5.0
AgroDoce Nordeste,220000000.0,Base cosmética (extrato),B2C,Interno,3.0,2.0,15.95,2.0,2.0,5.0,2.0,ANVISA,4.0,2.0
Cutrale,30000000000.0,Fragrância para perfumaria,B2C,Interno,3.0,2.5,41.12,3.0,4.0,3.0,2.0,ISO/HACCP,1.0,2.0
TropFruit Ingredients,650000000.0,Aroma / extrato natural,B2B,Interno,3.0,1.5,27.5,2.0,5.0,4.0,1.0,MAPA,3.0,3.0
BRF Ingredients,53000000000.0,Bebida funcional com manga,B2B,Interno,5.0,2.0,26.9,1.0,5.0,3.0,3.0,Nenhuma,2.0,4.0
Kerry do Brasil,9000000000.0,Geleia/compota,B2B,Interno,5.0,2.5,14.59,3.0,2.0,3.0,2.0,Internacional,2.0,3.0
Fazenda Sol do Vale,180000000.0,nao informado,B2B,nao informado,4.0,3.5,34.52,3.0,4.0,2.0,4.0,Nenhuma,1.0,3.0
MangaVale Alimentos,480000000.0,Purê de manga asséptico,B2B,Externo,2.0,3.5,14.1,3.0,4.0,1.0,4.0,Nenhuma,1.0,2.0
Cutrale,30000000000.0,nao informado,B2B,Externo,3.0,3.0,27.28,3.0,3.0,3.0,3.0,ISO/HACCP,4.0,3.0
MangaTech Foods,760000000.0,Geleia/compota,B2C,Interno,3.0,3.0,21.06,3.0,3.0,3.0,2.0,Nenhuma,1.0,2.0
BRF Ingredients,53000000000.0,Sabonete / hidratante com manga,B2C,Externo,4.0,2.0,24.9,3.0,2.0,1.0,1.0,ANVISA,2.0,1.0
JBS Ingredients,375000000000.0,Snack de manga desidratada,B2B,Ambos,3.0,2.5,13.23,3.0,3.0,3.0,2.0,MAPA,2.0,3.0
